heuristic,agents,profit,time (ns),distance (km)
four,4,295,3054417,798.13
four,4,333,6425086,2099.36
four,8,5,21175,60.97
four,8,10,17924,60.97
four,8,15,17728,61.07
four,8,20,18024,61.63
four,8,25,17835,65.45
four,8,30,17655,86.59
four,8,35,17748,87.59
four,8,40,17841,88.56
four,8,45,17954,132.34
four,8,50,18037,165.09
four,8,55,18109,169.16
four,8,60,17975,171.30
four,8,65,18121,171.30
four,8,70,18056,175.84
four,8,75,18073,196.09
four,8,80,18356,196.09
four,8,85,18761,218.83
four,8,90,18256,223.09
four,8,95,18398,226.67
four,8,100,18845,250.78
four,8,105,18493,251.12
four,8,110,18656,251.12
four,8,115,18657,271.95
four,8,120,18424,333.12
four,8,125,18692,333.83
four,8,130,18976,360.65
four,8,135,19179,392.94
four,8,140,19013,397.69
four,8,145,23109,398.09
four,8,150,28778,398.11
four,8,155,37837,403.46
four,8,160,50485,444.28
four,8,165,68869,471.09
four,8,170,91017,490.45
four,8,175,115794,510.27
four,8,180,134806,542.76
four,8,185,178878,587.89
four,8,190,265976,596.86
four,8,195,467565,596.13
four,8,200,723101,598.35
four,8,205,987938,693.26
four,8,210,1299432,724.15
four,8,215,1641513,743.47
four,8,220,1980431,821.04
four,8,225,2047296,906.46
four,8,230,2098337,953.11
four,8,235,2153208,969.79
four,8,240,2241695,965.12
four,8,245,2366345,969.96
four,8,250,2365526,1053.73
four,8,255,2380577,1086.00
four,8,260,2545332,1093.14
four,8,265,2718770,1097.96
four,8,270,2732169,1112.56
four,8,275,2647970,1138.92
four,8,280,2702744,1176.27
four,8,285,2857628,1167.67
four,8,290,2949354,1181.42
four,8,295,2992487,1191.04
four,8,333,6879044,2575.53
four,10,5,22302,60.97
four,10,10,21737,60.97
four,10,15,21565,61.07
four,10,20,21659,61.63
four,10,25,21635,65.45
four,10,30,22482,86.59
four,10,35,21767,87.59
four,10,40,21862,88.56
four,10,45,22184,132.34
four,10,50,21989,165.09
four,10,55,22186,169.16
four,10,60,22282,171.30
four,10,65,22465,171.30
four,10,70,22386,175.84
four,10,75,22206,196.09
four,10,80,22226,196.09
four,10,85,22515,218.83
four,10,90,22371,223.09
four,10,95,22561,226.67
four,10,100,23071,250.78
four,10,105,22910,251.12
four,10,110,22600,251.12
four,10,115,22824,271.95
four,10,120,23332,333.12
four,10,125,23164,333.83
four,10,130,23253,360.65
four,10,135,23646,392.94
four,10,140,23186,397.69
four,10,145,23442,402.49
four,10,150,23540,403.12
four,10,155,24370,413.55
four,10,160,24781,454.49
four,10,165,25782,481.35
four,10,170,28896,501.89
four,10,175,40006,518.25
four,10,180,46897,552.57
four,10,185,63122,612.45
four,10,190,133101,642.58
four,10,195,304203,672.34
four,10,200,490649,672.98
four,10,205,707575,766.65
four,10,210,948488,794.82
four,10,215,1189268,827.16
four,10,220,1404332,879.80
four,10,225,1435136,950.50
four,10,230,1454265,986.62
four,10,235,1627690,1019.79
four,10,240,1875337,1026.10
four,10,245,2099770,1029.26
four,10,250,2120895,1113.88
four,10,255,2155856,1180.50
four,10,260,2252970,1189.99
four,10,265,2355442,1210.70
four,10,270,2540066,1218.48
four,10,275,2491759,1237.67
four,10,280,2512276,1324.84
four,10,285,2650856,1324.39
four,10,290,2840325,1390.01
four,10,295,2859063,1417.36
four,10,333,6999904,2832.30
